"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"舊五代史（漢籍全文資料庫）","薛居正等","北宋（974）","考古與物質文化","中央研究院","CN-ST-JIUWUDAI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋薛居正等奉敕撰《舊五代史》（原名《五代史》），記載後梁開平元年至後周顯德七年（907–960）五代54年歷史，含梁書24卷、唐書50卷、晉書24卷、漢書11卷、周書22卷、世襲列傳2卷等，共150卷。為五代十國時期最原始之正史記載","舊五代史;薛居正;正史;五代;十國","五代十國","全中國","–","新五代史;資治通鑑;十國春秋","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","五代十國最原始之正史記錄","五代十國")
"新五代史（漢籍全文資料庫）","歐陽修","北宋（1053）","考古與物質文化","中央研究院","CN-ST-XINWUDAI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋歐陽修私撰《新五代史》（原名《五代史記》），以春秋筆法褒貶五代人物，改紀傳體為世家、列傳、考、世家年譜等類，立死節、死事、一行、唐六臣、義兒、伶官等傳，雖史料豐度不如舊史，然史識卓越，為唐宋古文運動之史學代表作","新五代史;歐陽修;正史;五代;春秋筆法","五代十國","全中國","–","舊五代史;新唐書;資治通鑑","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","歐陽修私撰五代史，春秋筆法褒貶人物","五代十國")
"五代十國墓葬考古（前蜀王建墓、南唐二陵等）","四川省文物考古研究院","1942","考古與物質文化","四川省文物考古研究院","CN-ST-WUDAIMUZANG-01","https://www.sckg.com/","zh","圖檔;文物","五代十國時期重要墓葬考古含：成都前蜀王建墓（永陵，1942年發掘），出土玉大帶、哀冊、王建石像等；南京南唐二陵（李昪欽陵、李璟順陵，1950年發掘），出土陶傭、墓誌等。為研究五代十國喪葬制度與藝術之核心考古資料","五代十國;王建墓;南唐二陵;墓葬;考古","五代十國","四川成都;江蘇南京","–","唐代帝陵;唐三彩;十國春秋","四川省文物考古研究院","–","2026-07-30","ARR","考古報告由文物出版社等出版","已收錄 metadata","王建墓為五代前蜀帝王陵寢，南唐二陵為十國時期重要墓葬","五代十國")
"文苑英華（漢籍全文資料庫）","李昉等（宋編）","北宋（982–987）","考古與物質文化","中央研究院","CN-ST-WENYUANYINGHUA-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋李昉等奉敕編《文苑英華》，為中國最大之文學總集，收錄梁末至五代2,200餘位作者近20,000篇詩文作品，上繼《文選》，下啟《唐文粹》。保存大量唐代佚文、詔令、碑誌等，為輯補唐代文獻之最主要來源","文苑英華;宋代總集;唐代文學;李昉;文選","五代十國","全中國","–","文選;全唐文;唐文粹","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國最大文學總集，保存大量唐代佚文","五代十國")
"十國春秋（吳任臣撰，漢籍全文資料庫）","吳任臣","清（1669）","傳世文獻","中央研究院","CN-ST-SHIGUO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清吳任臣撰《十國春秋》一百一十四卷，紀傳體記載五代時期吳、南唐、前蜀、後蜀、南漢、楚、吳越、閩、南平（荊南）、北漢等十國史事，並附十國世家年譜、地理表、百官表，為研究十國歷史最重要之綜合文獻","十國春秋;吳任臣;十國;南唐;吳越","五代十國","江南、四川、嶺南、兩湖","–","舊五代史;新五代史;資治通鑑","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","十國歷史最重要之綜合文獻","五代十國")
"後唐長興刊刻《九經》（馮道，雕版印刷）","馮道（倡議）／李愚（監刻）","後唐（932–953）","傳世文獻","中國國家圖書館","CN-ST-JIUJING-01","https://www.nlc.cn/","zh","圖檔;文字","後唐長興三年（932）宰相馮道奏請依石經文字刻印九經，歷後唐、後晉、後漢、後周四朝二十餘年始成，由國子監主持刊印，開官刻儒家經典之先河，為中國雕版印刷史上之里程碑。五代刻本《九經》今已不存，其遺緒見於敦煌出土五代刻本文獻","馮道;九經;雕版印刷;國子監;五代","五代十國","洛陽、開封","–","舊五代史;資治通鑑","中國國家圖書館","–","2026-07-31","UNCLEAR","中國國家圖書館數位資源之使用依其規定","已收錄 metadata","官刻儒經之始，雕版印刷史里程碑","五代十國")
"花間集（趙崇祚編，漢籍全文資料庫）","趙崇祚（編）／歐陽炯（序）","後蜀（940）","傳世文獻","中央研究院","CN-ST-HUJIANJI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","後蜀廣政三年（940）趙崇祚編《花間集》十卷，收錄溫庭筠、韋莊等晚唐五代十八家詞人五百首詞，為現存最早之詞總集，確立花間詞風，歐陽炯序稱「自南朝之宮體，扇北里之倡風」，為研究晚唐五代詞學與音樂文學之核心文獻","花間集;趙崇祚;詞;五代;溫庭筠;韋莊","五代十國","蜀中（成都）","–","全唐詩;文選","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","現存最早之詞總集，花間詞派得名於此","五代十國")
"敦煌莫高窟五代石窟（曹氏歸義軍）","敦煌研究院","五代（914–966）","考古與物質文化","敦煌研究院","CN-ST-WUDAIDUNHUANG-01","https://www.dha.ac.cn/","zh","圖檔;文字","五代曹氏歸義軍時期於莫高窟營建洞窟五十餘窟，如第98窟（于闐國王李聖天供養）、第61窟（五臺山圖大幅壁畫）等，窟主多為節度使與州縣官宦，供養人畫像成列，反映敦煌地方政權與中原、于闐之聯繫，為五代西北歷史之珍貴圖像史料","莫高窟;五代石窟;曹氏歸義軍;敦煌;供養人","五代十國","甘肅敦煌","–","敦煌吐魯番文書;敦煌莫高窟隋代石窟","敦煌研究院","–","2026-07-31","UNCLEAR","敦煌研究院數位資源之使用依其公告規定","已收錄 metadata","曹氏歸義軍承張議潮之後續主政敦煌百年","五代十國")
"五代越窯青瓷與秘色瓷考古（上林湖越窯）","浙江省文物考古研究所","五代（907–960）","考古與物質文化","浙江省文物考古研究所","CN-ST-YUEYAO-01","–","zh","圖檔;文字","浙江慈谿上林湖越窯為唐五代南方青瓷中心窯場，五代吳越國時期上貢秘色瓷於中原王朝，1987年法門寺地宮出土秘色瓷印證文獻記載。1998年上林湖寺龍口窯址發掘，出土五代至北宋瓷片堆積與窯具，為中國青瓷與越窯系研究之核心考古資料","越窯;秘色瓷;青瓷;上林湖;吳越國","五代十國","浙江慈谿（上林湖）","–","法門寺地宮考古與唐代佛教珍寶;唐三彩","浙江省文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","法門寺地宮秘色瓷為五代越窯上貢實證","五代十國")
"吳越國錢氏與納土歸宋史料","吳任臣；范坰、林禹","五代（907–978）","人物傳記與家族史料","浙江省博物館","CN-ST-WUYUE-01","https://www.zjmuseum.cn/","zh","文字;圖檔","吳越國（907–978）為錢鏐所建，定都杭州，三代五王以「保境安民」立國，北宋太平興國三年（978）錢俶納土歸宋，兩浙免於兵燹。史料見於《十國春秋》吳越世家、《吳越備史》（范坰、林禹撰）及杭州雷峰塔、煙霞洞石窟等吳越文物","吳越國;錢鏐;錢俶;納土歸宋;杭州","五代十國","浙江（杭州、兩浙）","–","十國春秋;五代越窯青瓷","浙江省博物館","–","2026-07-31","ARR","館藏數位影像依浙江省博物館規定","已收錄 metadata","吳越國納土歸宋，兩浙免於兵火","五代十國")
"後周世宗改革史料（顯德新政）","薛居正等（舊五代史）／司馬光（資治通鑑）","後周（954–959）","官方檔案文書","中央研究院","CN-ST-HOUZHOU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","後周世宗柴榮顯德年間（954–959）推行改革：均定田租、招撫流亡、興修水利（疏浚汴河）、整頓寺院汰減僧尼、毀銅像鑄錢、整軍（罷老弱、置殿前軍）並南征北戰（征淮南、北伐契丹取三關），為五代政績最著之君主，開北宋統一之基礎","後周世宗;柴榮;顯德改革;均田;滅佛","五代十國","開封、淮南、河北","–","舊五代史;資治通鑑;新五代史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","周世宗為五代第一明君，北宋統一之奠基","五代十國")
