"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","東南亞"
"吳哥窟與吳哥王朝遺址群","吳哥王朝（蘇耶跋摩二世等）","12世紀（1113–1150）","考古與物質文化","APSARA吳哥遺址管理局","KH-ST-01","https://apsaraauthority.gov.kh/","km;en","圖檔","吳哥窟建於12世紀初蘇耶跋摩二世（Suryavarman II）在位期間，為吳哥王朝最宏偉之寺山建築，佔地約400平方公里之吳哥考古公園含9–15世紀歷代都城（吳哥城・巴戎寺・塔普倫・寶劍寺等），1992年登錄UNESCO世界文化遺產；APSARA吳哥遺址管理局（1995成立）負責保護管理，為研究東南亞水利城市・王權宗教與高棉文明之核心考古遺產","吳哥窟;吳哥王朝;高棉文明;世界遺產;考古","柬埔寨（吳哥王朝～近代）","柬埔寨（暹粒）","–","Preah Khan碑文（K.908）;巴戎寺;吐斯廉屠殺博物館檔案","–","APSARA吳哥遺址管理局（數位典藏）","2026-08-01","ARR","官方管理機構典藏，線上瀏覽","已收錄 metadata","高棉文明核心考古遺產","柬埔寨"
"Preah Khan（寶劍寺）碑文 K.908","闍耶跋摩七世（Jayavarman VII）","1191（薩卡曆1113）","碑碣與實物刻文","APSARA吳哥遺址管理局","KH-ST-02","https://apsaraauthority.gov.kh/","sa;km","圖檔","寶劍寺四面石碑（高223公分），1939年莫里斯・格萊澤於修復寶劍寺時發現，以梵文寫成179頌，記錄闍耶跋摩七世身世・戰功・興建寶劍寺／涅槃水池（Neak Poan）之緣由及各寺供養人・村落・道路・121座驛站等制度，為吳哥王朝宗教與行政制度最重要之碑銘，今存暹粒吳哥國家博物館","Preah Khan碑;闍耶跋摩七世;梵文碑銘;吳哥碑刻;高棉碑銘學","柬埔寨（吳哥王朝～近代）","柬埔寨（暹粒・吳哥考古公園）","–","吳哥窟與吳哥王朝遺址群;巴戎寺","–","APSARA吳哥遺址管理局（碑銘研究）","2026-08-01","ARR","官方管理機構研究典藏，線上瀏覽","已收錄 metadata","吳哥王朝碑銘學代表","柬埔寨"
"吐斯廉屠殺博物館檔案（S-21）","民主柬埔寨（赤柬）時期","1975–1979","官方檔案文書","吐斯廉屠殺博物館","KH-ST-03","https://archives.tuolsleng.gov.kh/","km;en","圖檔","前S-21監獄與刑訊中心檔案，含5,000多名囚犯照片・約4,186份供詞・6,226份囚犯與幹部檔案・赤柬筆記與《革命旗》雜誌等逾6萬件文書，2009年登錄UNESCO世界記憶遺產；2020年獲UNESCO/Jikji世界記憶獎，2021年數位資料庫公開上線，為赤柬暴行最重要之證據與和平教育典藏","吐斯廉;S-21;赤柬;種族滅絕;UNESCO世界記憶","柬埔寨（吳哥王朝～近代）","柬埔寨（金邊）","–","吳哥窟與吳哥王朝遺址群;柬埔寨國家檔案館","–","吐斯廉屠殺博物館（數位資料庫）","2026-08-01","ARR","世界記憶遺產，數位資料庫公開","已收錄 metadata","赤柬暴行證據檔案","柬埔寨"
"柬埔寨國家檔案館法屬殖民檔案","法屬印度支那殖民政府／柬埔寨政府","1863–1954","官方檔案文書","柬埔寨國家檔案館","KH-ST-04","https://nac.gov.kh/","fr;km","文字","柬埔寨國家檔案館（1921年創立，1995年重建）保存政府各部門檔案共2,145公尺線性長度・14個全宗，含法屬殖民時期（1863–1954）高級駐員（Résidence Supérieure）行政檔案・官方公報《Journal Officiel du Cambodge》・報刊・地圖與約9,000張已數位化照片，為研究柬法殖民治理與柬埔寨近代國家形成之核心檔案庫","柬埔寨國家檔案館;法屬印度支那;殖民檔案;官方公報;近代國家","柬埔寨（吳哥王朝～近代）","柬埔寨（金邊）","–","吐斯廉屠殺博物館檔案;法屬印度支那總督府","–","柬埔寨國家檔案館（數位化）","2026-08-01","ARR","官方檔案館典藏，需申請閱覽","已收錄 metadata","柬國近代國家檔案庫","柬埔寨"
"高棉手稿遺產計畫（Khmer Manuscript Heritage Project）","柬埔寨佛教文獻（高棉貝葉經）","16世紀–現代","傳世文獻","佛教數位資源中心（BDRC）","KH-ST-05","https://khmer-manuscripts.bdrc.io/","km;pi","圖檔","佛教數位資源中心（BDRC）2019年發起之高棉手稿數位化計畫，兩年半內與柬國多個機構合作，於金邊及周邊省份寺院圖書館蒐集並數位化1,456,341頁高棉貝葉經與紙本文獻，含巴利文與高棉文經藏・史傳・醫典・律法文書等，為現存柬埔寨傳統文獻之最大數位典藏並免費開放，反映上座部佛教文化圈之高棉手稿傳統","高棉手稿;貝葉經;佛教文獻;BDRC;文獻數位化","柬埔寨（吳哥王朝～近代）","柬埔寨（金邊及各省寺院）","–","寮國手稿數位圖書館;吳哥窟與吳哥王朝遺址群","–","佛教數位資源中心（數位典藏）","2026-08-01","ARR","非營利數位典藏，免費開放","已收錄 metadata","高棉貝葉經最大數位典藏","柬埔寨"
"寮國手稿數位圖書館（DLLM）","寮國國家圖書館等","15/16世紀–現代","傳世文獻","寮國國家圖書館","LA-ST-01","https://digital.crossasia.org/digital-library-of-lao-manuscripts/?lang=en","lo;pi;en","圖檔","寮國國家圖書館與德國帕紹大學・柏林國家圖書館合作之數位圖書館，收錄近12,000件寮國貝葉經與構皮紙手稿（約50萬幀影像・300–400萬頁），絕大多數為巴利–寮文雙語上座部佛教文獻，涵蓋史傳・律法・醫藥・文學・曆算等，兼收Lao Tham・Lan Na・Tai Lue等文字，為東南亞線上開放最完整之國家級手稿文獻庫","寮國手稿;貝葉經;DLLM;佛教文獻;文獻數位化","寮國（瀾滄王國～近代）","寮國全國（永珍・琅勃拉邦・占巴塞等）","–","高棉手稿遺產計畫;香通寺;琅勃拉邦古城","–","寮國國家圖書館（DLLM數位典藏）","2026-08-01","ARR","國家圖書館合作計畫，免費開放","已收錄 metadata","寮國國家文獻庫","寮國"
"琅勃拉邦古城（世界遺產）","瀾滄王國（法昂王等）","1353–現代","考古與物質文化","寮國資訊文化旅遊部","LA-ST-02","https://whc.unesco.org/en/list/479/","en;fr","圖檔","瀾滄王國（1353年法昂王建國）舊都琅勃拉邦，1995年以「琅勃拉邦鎮」登錄UNESCO世界文化遺產，完整保留王城・佛寺・民居與法屬殖民建築交融之城市景觀；香通寺等33座寺院與皇宮構成上座部佛教文化與泰老族系城市傳統之代表，為寮國歷史與文化之縮影","琅勃拉邦;世界遺產;瀾滄王國;佛教城市;文化景觀","寮國（瀾滄王國～近代）","寮國（琅勃拉邦）","–","香通寺;寮國手稿數位圖書館;皇宮國家博物館","–","寮國資訊文化旅遊部（世界遺產管理）","2026-08-01","ARR","世界文化遺產，官方管理單位典藏","已收錄 metadata","寮國世界文化遺產城市","寮國"
"香通寺（Wat Xieng Thong）","塞塔提拉王（Setthathirath）","1560","考古與物質文化","寮國資訊文化旅遊部","LA-ST-03","https://www.laostourism.org/","lo;en","圖檔","琅勃拉邦香通寺建於1560年塞塔提拉王在位期間，以斜倚的蓮花柱廊・「生命之樹」鑲嵌壁畫著稱，為寮國最具代表性之王室佛寺與上座部佛教象徵；與琅勃拉邦皇宮國家博物館相鄰，寺藏寮文貝葉經與文物由寺院與官方共同保存，為寮國宗教建築與儀式傳統之核心標本","香通寺;琅勃拉邦;上座部佛教;寺廟建築;王室佛寺","寮國（瀾滄王國～近代）","寮國（琅勃拉邦）","–","琅勃拉邦古城;寮國手稿數位圖書館","–","寮國資訊文化旅遊部（典藏）","2026-08-01","ARR","官方管理單位，線上瀏覽","已收錄 metadata","寮國王室佛寺代表","寮國"
"琅勃拉邦皇宮國家博物館（Haw Kham）","西薩旺馮國王（Sisavang Vong）","1904","官方檔案文書","寮國資訊文化旅遊部","LA-ST-04","https://www.laostourism.org/","lo;fr;en","圖檔","琅勃拉邦皇宮（Haw Kham，意「金殿」）1904年法屬殖民時期為西薩旺馮國王興建，1975年王室制度廢除後改設國家博物館；館藏國王寶座・王室儀仗・各國致贈禮品及王室典藏之寮文貝葉經與歷史照片，反映寮國君主制時代至社會主義共和國之政權轉型，為寮國王室物質文化之核心典藏","皇宮國家博物館;琅勃拉邦;王室制度;法屬殖民建築;博物館","寮國（瀾滄王國～近代）","寮國（琅勃拉邦）","–","琅勃拉邦古城;香通寺","–","琅勃拉邦皇宮國家博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","寮國王室典藏中心","寮國"
"馬來紀年（Sejarah Melayu／Sulalatus Salatin）","馬六甲蘇丹國宮廷史官","1612（柔佛蘇丹國）","傳世文獻","馬來西亞國家圖書館","MY-ST-01","https://www.pnm.gov.my/manuskrip/melayu/03koleksi/302_hikayat.htm","ms;ja","文字","《馬來紀年》又稱《諸王世系》，1612年柔佛王朝史官奉蘇丹阿拉烏丁三世之命纂修，記馬六甲蘇丹國（約1400–1511）開國（三佛齊王子拜里米蘇拉）至衰亡之宮廷史事，為馬來史學之鼻祖與馬六甲蘇丹國唯一詳實之歷史文獻，2001年登錄UNESCO世界記憶遺產，藏本今存馬來西亞國家圖書館","馬來紀年;Sejarah Melayu;馬六甲蘇丹國;馬來史學;UNESCO世界記憶","馬來西亞（馬六甲蘇丹國～獨立）","馬來半島（馬六甲・柔佛）","–","漢都亞傳奇;帕尼傳奇","–","馬來西亞國家圖書館（手稿數位典藏）","2026-08-01","ARR","世界記憶遺產，國家圖書館典藏","已收錄 metadata","馬來史學鼻祖","馬來西亞"
"漢都亞傳奇（Hikayat Hang Tuah）","馬來宮廷史官（佚名）","17–18世紀","傳世文獻","馬來西亞國家圖書館","MY-ST-02","https://www.pnm.gov.my/manuskrip/melayu/03koleksi/302_hikayat.htm","ms;ja","圖檔","《漢都亞傳奇》為馬來古典文學史詩，記馬六甲蘇丹國15世紀全盛時期傳奇英雄漢都亞（Hang Tuah）與其四友之忠義事蹟，2001年登錄UNESCO世界記憶遺產；馬來西亞國家圖書館藏MSS 1658與MSS 1713兩抄本，書於約200年前之歐洲紙上，象徵馬六甲蘇丹國之榮光與馬來忠君倫理，為馬來世界流傳最廣之史詩","漢都亞;Hikayat Hang Tuah;馬來史詩;馬六甲蘇丹國;UNESCO世界記憶","馬來西亞（馬六甲蘇丹國～獨立）","馬來半島（馬六甲）","–","馬來紀年;帕尼傳奇","–","馬來西亞國家圖書館（手稿數位典藏）","2026-08-01","ARR","世界記憶遺產，國家圖書館典藏","已收錄 metadata","馬來史詩代表","馬來西亞"
"帕尼傳奇（Cerita Panji）抄本","爪哇・馬來宮廷文學傳統","13–16世紀","傳世文獻","馬來西亞國家圖書館","MY-ST-03","https://www.pnm.gov.my/manuskrip/melayu/03koleksi/302_hikayat.htm","ms;ja","圖檔","帕尼傳奇為爪哇–馬來文學圈流傳之王室愛情史詩（伊努與嘉露公主），2017年五部抄本登錄UNESCO世界記憶遺產，由馬來西亞國家圖書館典藏，反映帕尼傳統自爪哇東傳馬來世界的跨海文學傳播，為東南亞文學「帕尼傳奇圈」之核心文獻","帕尼傳奇;Cerita Panji;爪哇文學;馬來文學;UNESCO世界記憶","馬來西亞（馬六甲蘇丹國～獨立）","馬來半島・爪哇","–","漢都亞傳奇;馬來紀年","–","馬來西亞國家圖書館（手稿數位典藏）","2026-08-01","ARR","世界記憶遺產，國家圖書館典藏","已收錄 metadata","帕尼傳奇圈核心文獻","馬來西亞"
