"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"遼朝四時捺缽與南北面官制史料","脫脫／李燾","遼（916–1125）","官方檔案文書","中央研究院","CN-ST-LIAO-NABO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","遼朝實行「四時捺缽」行國制度，皇帝四季巡行駐蹕，政治中心隨帳而遷；官制分南北兩面，北面官以契丹國制治宮帳部族，南面官仿唐制治漢人州縣，史料見《遼史·營衛志》《百官志》及《契丹國志》，為理解遼朝二元統治體制之核心","捺缽;南北面官;遼朝制度;契丹;二元統治","遼","全中國","–","遼史;契丹國志","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","遼朝二元統治體制之樞紐","遼")
"遼代佛教石窟與寺塔（大同華嚴寺、義縣奉國寺）","山西省古建築保護研究所;遼寧省文物考古研究院","遼（11世紀）","考古與物質文化","山西省古建築保護研究所;遼寧省文物考古研究院","CN-ST-LIAO-FOJIAO-01","–","zh","圖檔;文字","遼朝崇佛，寺塔建築冠絕一時：大同華嚴寺薄伽教藏殿之天宮樓閣壁藏為遼代小木作精品，遼寧義縣奉國寺大殿為現存最大遼代木構單體建築，遼塔（應縣木塔外）遍布山西河北，為中國建築史保留之遼代木構最重要實例群","華嚴寺;奉國寺;遼代佛教;薄伽教藏;大雄寶殿","遼","山西大同;遼寧義縣","–","應縣木塔;金代佛教遺存","山西省古建築保護研究所;遼寧省文物考古研究院","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","遼代木構建築之最重要實例","遼")
"契丹馬具與遊牧文化文物","內蒙古博物院","遼（916–1125）","照片與影像","內蒙古博物院","CN-ST-LIAO-MAJU-01","–","zh","圖檔","契丹為馬上民族，鞍馬文化發達，遼代馬具以鏤空鎏金銅飾、銀鞍橋著稱，陳國公主墓出土馬具組合完整，內蒙古博物院藏多件精品，反映契丹騎射生活與冶造工藝，係遼代遊牧物質文化之直觀見證","契丹馬具;馬鞍;遊牧文化;內蒙古博物院","遼","內蒙古","–","陳國公主墓;遼三彩與雞冠壺","內蒙古博物院","–","2026-07-31","ARR","館藏數位影像依館方規定","已收錄 metadata","契丹鞍馬文化之實物","遼")
"西夏書事（清吳廣成，漢籍全文資料庫）","吳廣成","清（1825）","傳世文獻","中央研究院","CN-ST-XIXIA-SHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清吳廣成撰《西夏書事》四十二卷，編年體記西夏自拓跋思恭至李睍（881–1227）三百餘年史事，取材《宋史》《遼史》《金史》及各家載記，為漢文西夏史料中系統最完整之編年專書，研究西夏歷史必讀","西夏書事;吳廣成;西夏;編年史;黨項","西夏","全中國","–","遼史;宋史;金史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","漢文西夏編年史之最","西夏")
"西夏鎏金銅牛與西夏文物（寧夏博物館藏）","寧夏博物館","西夏（1038–1227）","照片與影像","寧夏博物館","CN-ST-XIXIA-TONGNIU-01","–","zh","圖檔","西夏王陵陪葬墓出土之鎏金銅牛長1.2米、重188公斤，造型寫實、工藝精湛，為西夏金屬工藝之代表作，寧夏博物館並藏西夏文殘碑、陶瓷、官印等，為西夏文物最集中之收藏機構，係認識西夏物質文化之窗口","鎏金銅牛;西夏文物;寧夏博物館;金屬工藝","西夏","寧夏銀川","–","西夏王陵考古;遼三彩與雞冠壺","寧夏博物館","–","2026-07-31","ARR","館藏數位影像依館方規定","已收錄 metadata","西夏金屬工藝之代表作","西夏")
"賀蘭山岩畫與西夏石刻","寧夏文物考古研究所","西夏（1038–1227）","考古與物質文化","寧夏文物考古研究所","CN-ST-XIXIA-HELAN-01","–","zh","圖檔;文字","賀蘭山兩麓遺存上萬幅岩畫，上溯石器時代下迄西夏元明清，西夏人刻馬、人面與西夏文字題記於其上，賀蘭山嘴子石窟並存西夏石刻塔，為研究西夏文化與北方遊牧民族信仰之重要石刻遺存","賀蘭山岩畫;西夏石刻;人面岩畫;遊牧文化","西夏","寧夏銀川","–","西夏王陵考古;西夏文佛經與活字印刷","寧夏文物考古研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","西夏與北方民族信仰之石刻遺存","西夏")
"敦煌莫高窟西夏洞窟","敦煌研究院","西夏（1038–1227）","考古與物質文化","敦煌研究院","CN-ST-XIXIA-MOGAOKU-01","–","zh","圖檔;文字","西夏統治敦煌百餘年，莫高窟存西夏重修洞窟八十餘窟，重繪彌勒經變、文殊普賢變與眾多供養人像，窟前殿堂遺址並出土西夏文殘碑、木雕，為西夏佛教與絲路文化之重要遺存，與榆林窟西夏壁畫互為補充","莫高窟;西夏洞窟;敦煌;西夏佛教;供養人像","西夏","甘肅敦煌","–","榆林窟西夏壁畫;敦煌五代石窟（曹氏歸義軍）","敦煌研究院","–","2026-07-31","ARR","窟內影像依敦煌研究院規定","已收錄 metadata","西夏佛教之絲路遺存","西夏")
"西夏文佛經與活字印刷（黑水城出土）","俄羅斯聖彼得堡東方文獻研究所","西夏（12–13世紀）","官方檔案文書","俄羅斯聖彼得堡東方文獻研究所","CN-ST-XIXIA-HUOZI-01","–","zh","圖檔;文字","黑水城出土之西夏文佛經如《吉祥遍至口和本續》等，經考訂為泥活字、木活字印刷品，係世界上現存最早的活字印刷實物（較古騰堡早約二百年），證明活字印刷術已傳入西夏並大量應用，為中國印刷史與西夏文化之重量級發現","西夏文佛經;活字印刷;黑水城;印刷史;西夏文","西夏","內蒙古額濟納旗","–","黑水城西夏文獻;活字印刷術史料（畢昇）","俄羅斯聖彼得堡東方文獻研究所","–","2026-07-31","ARR","影印整理本已出版","已收錄 metadata","世界最早的活字印刷實物","西夏")
"遼史（漢籍全文資料庫）","脫脫等（元）","元（1345）","傳世文獻","中央研究院","CN-ST-LIAO-LIAOSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元脫脫等奉敕撰《遼史》一百十六卷，含本紀30卷、志32卷、表8卷、列傳45卷、附國語解1卷，記載遼朝耶律氏二百一十八年（916–1125）史事，並附高麗、女真、西夏諸外記，為二十四史中記述北方民族政權之重要正史","遼史;脫脫;遼朝;契丹;正史;二十四史","遼","全中國","–","契丹國志;宋史;金史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","記遼朝二百餘年之正史","遼")
"契丹國志（葉隆禮，漢籍全文資料庫）","葉隆禮","南宋（約1180）","傳世文獻","中央研究院","CN-ST-LIAO-QIDAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋葉隆禮撰《契丹國志》二十七卷，為現存最早之遼史私修紀傳體著作，含帝紀十二、后妃諸傳及地理、風俗、制度等志，保存遼朝漢文史料與宋人筆記，可與《遼史》互證，係研究遼代社會制度與宋遼關係之要籍","契丹國志;葉隆禮;遼朝;契丹;宋遼關係","遼","全中國","–","遼史;澶淵之盟與宋遼關係史料;宋史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","現存最早遼史私修之作","遼")
"焚椒錄（王鼎，遼宮廷史料）","王鼎","遼（約1100）","傳世文獻","中央研究院","CN-ST-LIAO-FENJIAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","遼人王鼎撰《焚椒錄》一卷，記道宗宣懿皇后蕭氏蒙冤事，涉及遼宮廷政爭、耶律乙辛擅權與「十香詞」冤案，為遼人記遼事之罕見第一手私記，兼具史學與文學價值，係研究遼朝後宮與道宗朝政治之獨特史料","焚椒錄;王鼎;遼道宗;蕭皇后;宮廷","遼","全中國","–","遼史;契丹國志","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","遼人記遼事之罕見私記","遼")
"遼慶陵哀冊（契丹文與漢文碑刻）","遼朝官方","遼（1101）","碑碣與實物刻文","中國國家博物館","CN-ST-LIAO-AICHI-01","https://www.chnmuseum.cn/","zh","文字;圖檔","遼慶陵（聖宗、興宗、道宗三陵）出土哀冊石刻為契丹文與漢文對照之珍貴碑刻，其中聖宗哀冊之契丹小字文，係解讀契丹文字之鑰；哀冊銘文記帝王生卒、廟號、諡號，為研究遼朝制度與契丹語言文字之核心實物","遼慶陵哀冊;契丹文;哀冊;碑刻;遼朝","遼","內蒙古巴林右旗","–","遼慶陵考古;契丹國志;遼史","中國國家博物館","–","2026-07-31","ARR","館藏數位影像依中國國家博物館規定","已收錄 metadata","解讀契丹文字之鑰","遼")
"遼上京遺址考古（內蒙古巴林左旗）","中國社會科學院考古研究所","1960s–","考古與物質文化","中國社會科學院考古研究所","CN-ST-LIAO-SHANGJING-01","–","zh","圖檔;文字","遼上京（今內蒙古赤峰巴林左旗林東鎮）為遼朝五京之首，營建於神冊三年（918），遺址分南北二城，宮城居南。中國社會科學院考古研究所等多次發掘，揭示宮城、街道、皇城與建築基址，為遼代都城制度與城市考古之核心","遼上京;巴林左旗;都城考古;遼朝;契丹","遼","內蒙古巴林左旗","–","遼慶陵考古;陳國公主墓;遼史","中國社會科學院考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","遼代五京之首的都城遺存","遼")
"遼慶陵考古（祖陵與慶州）","內蒙古文物考古研究院","1930s–1980s","考古與物質文化","內蒙古文物考古研究院","CN-ST-LIAO-QINGLING-01","–","zh","圖檔;文字","遼慶陵位於內蒙古巴林右旗慶雲山，為聖宗永慶陵、興宗永興陵、道宗永福陵三陵所在，1930年代日本學者調查錄得哀冊，1980年代以來內蒙古文物考古研究院複查發掘，獲證陵園布局與契丹葬俗，為遼代帝陵制度研究之核心","遼慶陵;帝陵;考古;契丹葬俗;慶雲山","遼","內蒙古巴林右旗","–","遼慶陵哀冊;遼上京遺址考古;陳國公主墓","內蒙古文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","遼代三陵之帝陵制度","遼")
