"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","南亞"
"印度河文明（哈拉帕文化）出土文物","哈拉帕文化（約前2600–前1900）","約前3000–前1500","考古與物質文化","印度博物館（加爾各答）","IN-ST-01","https://indianmuseumkolkata.org/","–","圖檔","印度博物館1814年成立，為印度最早之博物館，考古部Pre & Proto History陳列廳典藏印度河文明（哈拉帕・摩亨佐達羅）出土之印章・陶器・珠飾・石雕等，官方網站提供數位館藏與虛擬導覽，為印度河流域文明物質文化之核心典藏","印度河文明;哈拉帕;摩亨佐達羅;考古;博物館","印度河流域與吠陀時代（約前3000–前500）","印度（印度河流域・旁遮普／信德）","–","多拉維拉哈拉帕古城遺址;印度國家博物館考古廳","–","印度博物館（加爾各答，數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","印度河流域文明代表器物","印度"
"多拉維拉哈拉帕古城遺址（Dholavira）","哈拉帕文化（印度河文明）","約前3000–前1500","考古與物質文化","印度考古調查局（ASI）","IN-ST-02","https://asi.nic.in/","–","圖檔","古吉拉特邦卡奇鹽漠多拉維拉為印度境內首處列入世界遺產之印度河流域文明城址（2021年UNESCO世界文化遺產），含巨型蓄水工程・城堡・墓地與排水系統；印度考古調查局（ASI）為管理機關並刊行發掘報告，官網提供遺址清單與導覽","多拉維拉;印度河文明;世界遺產;水利工程;考古","印度河流域與吠陀時代（約前3000–前500）","印度（古吉拉特邦・卡奇）","–","印度河文明（哈拉帕文化）出土文物","–","印度考古調查局（遺址管理）","2026-08-01","ARR","官方遺址管理機構，線上瀏覽","已收錄 metadata","印度河流域城市文明代表遺址","印度"
"《梨俱吠陀》抄本（Rigveda）","吠陀時代祭官（口傳傳統）","約前1500–前1200（現存手稿近世）","考古與物質文化","巴克德卡東方研究所（BORI）","IN-ST-03","https://bori.ac.in/","sa;hi","文字;圖檔","巴克德卡東方研究所（浦那）藏全球最古老之《梨俱吠陀》貝葉抄本（9世紀），吠陀文獻最古層・人類最早文獻之一，2007年登錄UNESCO世界記憶（印度首件）；另藏《薄伽梵往世書》彩繪抄本，官方數字圖書館已開放萬冊古籍線上閱覽","梨俱吠陀;吠陀;梵文手稿;UNESCO世界記憶;宗教文獻","印度河流域與吠陀時代（約前3000–前500）","印度（馬哈拉施特拉邦・浦那）","–","印度國家手稿任務（Kriti Sampada）","–","巴克德卡東方研究所（數位圖書館）","2026-08-01","ARR","世界記憶遺產，數位圖書館開放","已收錄 metadata","吠陀文獻最古層寫本","印度"
"印度國家手稿任務（Kriti Sampada／Pandulipi Patala）","印度文化部國家手稿任務（NAMAMI）","吠陀期～近代","碑碣與實物刻文","國家手稿任務（NAMAMI）","IN-ST-04","https://www.namami.gov.in/","sa;hi;ta;bn","文字;圖檔","2003年成立之全國手稿總庫，已建440萬筆手稿書目・約4萬部數位影像，涵蓋吠陀・佛教・耆那教・醫學等梵文與各地語言抄本，並負責印度UNESCO世界記憶提名，為印度傳統文獻之最大國家級數位目錄","手稿;貝葉經;梵文文獻;數位典藏;文化部","印度河流域與吠陀時代（約前3000–前500）","印度全國","–","《梨俱吠陀》抄本;劍橋大學圖書館梵文手稿","–","印度文化部（國家手稿任務）","2026-08-01","ARR","官方數位典藏，免費開放","已收錄 metadata","印度傳統文獻國家級目錄","印度"
"阿育王敕令與印度碑銘數位庫（BharatSHRI）","印度考古調查局碑銘分部","約前3世紀起","碑碣與實物刻文","印度考古調查局碑銘分部","IN-ST-05","https://www.bharatshri.org/","sa;pi;hi","文字;圖檔","印度考古調查局旗艦碑銘數位計畫，收錄約7.4萬件碑刻拓片（estampages）含阿育王石柱與岩刻敕令・孔雀王朝至莫臥兒時代碑銘，附釋文與元資料全文檢索，為印度碑銘學之國家數位庫","阿育王敕令;碑銘;石柱;梵文;碑銘學","列國・孔雀・笈多時代（約前500–550）","印度全國（含拉姆普瓦・德里・山地等石柱所在地）","–","桑吉佛塔;菩提伽耶大覺寺","–","印度考古調查局碑銘分部（數位庫）","2026-08-01","ARR","官方碑銘數位庫，線上檢索","已收錄 metadata","阿育王敕令國家數位庫","印度"
"桑吉佛塔（Sanchi Stupa）","阿育王與巽伽王朝","約前3世紀–1世紀","考古與物質文化","印度考古調查局（ASI）","IN-ST-06","https://asi.nic.in/","–","圖檔","桑吉大塔為阿育王始建之佛教舍利塔群，含大塔（Stupa 1）精美佛傳浮雕與阿育王石柱，1989年登錄UNESCO世界文化遺產，印度考古調查局保護管理並提供官方影像與導覽，為佛教藝術與孔雀王朝信仰之代表","桑吉;佛塔;阿育王;佛教藝術;世界遺產","列國・孔雀・笈多時代（約前500–550）","印度（中央邦・桑吉）","–","阿育王敕令與印度碑銘數位庫;菩提伽耶大覺寺","–","印度考古調查局（遺址管理）","2026-08-01","ARR","官方遺址管理機構，線上瀏覽","已收錄 metadata","佛教舍利塔建築代表","印度"
"菩提伽耶大覺寺複合體（Mahabodhi Temple）","阿育王始建；笈多末期重建","約前3世紀～6世紀","考古與物質文化","印度考古調查局（ASI）","IN-ST-07","https://whc.unesco.org/en/list/1056/","–","圖檔","佛陀成道地菩提伽耶大覺寺，阿育王始建，現存主塔為5–6世紀磚構建築，印度現存最古老佛寺之一，2002年登錄UNESCO世界文化遺產；印度考古調查局管理，研究南亞佛教傳播與笈多建築之核心遺址","菩提伽耶;佛陀;大覺寺;佛教;世界遺產","列國・孔雀・笈多時代（約前500–550）","印度（比哈爾邦・菩提伽耶）","–","吉爾吉特手稿;桑吉佛塔","–","印度考古調查局（世界遺產管理）","2026-08-01","ARR","世界文化遺產，官方管理單位","已收錄 metadata","佛陀成道地遺址","印度"
"印度國家博物館考古廳（孔雀王朝至笈多文物）","孔雀王朝・犍陀羅・笈多王朝","約前3世紀–6世紀","考古與物質文化","印度國家博物館","IN-ST-08","https://nationalmuseumindia.gov.in/","–","圖檔","新德里國家博物館館藏逾21萬件，考古廳陳列阿育王石柱首都（獅子柱頭）・犍陀羅石雕・笈多銅像與王朝時期造像，經官方JATAN數位典藏與NM Virtual（nmvirtual.in）線上閱覽，為印度古典時代藝術之國家級典藏","國家博物館;阿育王石柱;犍陀羅;笈多王朝;博物館","列國・孔雀・笈多時代（約前500–550）","印度（新德里）","–","印度河文明（哈拉帕文化）出土文物;莫臥兒細密畫收藏","–","印度國家博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","印度古典藝術國家典藏","印度"
"吉爾吉特手稿（Gilgit Manuscripts）","笈多王朝時期佛教僧侶","5–6世紀","考古與物質文化","印度國家檔案館（NAI）","IN-ST-09","https://www.unesco.org/en/memory-world/country-overview?country=IN","sa;pi","文字;圖檔","1931年於喀什米爾吉爾吉特發現之佛塔寶藏，為印度次大陸現存最古老手稿群（笈多文字佛教梵文寫本，含《楞伽經》等），2017年登錄UNESCO世界記憶，原件由印度國家檔案館與查謨喀什米爾考古檔案局保存","吉爾吉特手稿;佛教寫本;梵文;笈多王朝;UNESCO世界記憶","列國・孔雀・笈多時代（約前500–550）","印度（喀什米爾・吉爾吉特）","–","菩提伽耶大覺寺;劍橋大學圖書館梵文手稿","–","印度國家檔案館（原件典藏）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","印度次大陸最古老手稿群","印度"
"劍橋大學數位圖書館梵文手稿","印度各地抄書匠（佚名）","10–19世紀","考古與物質文化","劍橋大學圖書館","IN-ST-10","https://cudl.lib.cam.ac.uk/collections/sanskrit","sa;pi;pra;ta","圖檔","劍橋大學圖書館AHRC計畫數位化逾1,600件梵文・巴利文・普拉克利特文・坦米爾文手稿（紙本・貝葉・樺樹皮），系統性開放全文影像，涵蓋佛教・印度教・耆那教經典，為境外最大開放梵文手稿庫之一","梵文手稿;貝葉經;巴利文;佛教文獻;數位典藏","中世紀印度（德里蘇丹國，約550–1526）","印度全境（典藏於英國劍橋）","–","牛津博德利圖書館梵文手稿;吉爾吉特手稿","–","劍橋大學圖書館（數位圖書館）","2026-08-01","ARR","大學數位圖書館，免費開放","已收錄 metadata","境外開放梵文手稿庫","印度"
