"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","明"
"《明實錄》","明朝官方（歷朝史官）","明（1368–1627）","官方檔案文書","中央研究院","CN-ST-MING-SHILU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明代歷朝官修編年史，記太祖至熹宗十五朝二百餘年軍國大事，含詔令、奏疏、朝政與邊事，為明史研究最重要之第一手官方檔案，《太祖實錄》經三修，今通行本據北平圖書館藏本影印","明實錄;編年史;官方檔案;明朝;史官","明","全中國","–","明史;明會典;萬曆起居注","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明史研究之基本史源","明")
"《明史》","張廷玉等（乾隆四年欽定）","清乾隆四年（1739）","官方檔案文書","中央研究院","CN-ST-MING-MINGSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清代官修《明史》三百三十二卷，為二十四史最後一部正史，據明實錄、檔冊與私史改修而成，紀傳體記載明朝二百七十六年興亡，其中〈食貨〉〈兵〉〈藝文〉諸志保存明制要目","明史;張廷玉;二十四史;紀傳體;明清易代","明","全中國","–","明實錄;明會典","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","記載明朝興亡之官修正史","明")
"《明會典》","申時行等（萬曆重修）","明萬曆十五年（1587）","官方檔案文書","中央研究院","CN-ST-MING-HUIDIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明代官修行政法典，以六部為綱，分記職官、儀制、禮制、兵刑、賦役、茶馬等二百二十八卷，為明代官制與政務運作最詳盡之制度文獻，今通行萬曆重修本","明會典;六部;官制;政典;申時行","明","全中國","–","明史;明實錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代行政制度之總綱","明")
"《萬曆起居注》","明朝官方（內閣）","明萬曆年間（1573–1620）","官方檔案文書","中央研究院","CN-ST-MING-QIJUZHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明代起居注僅萬曆一朝較完整傳世，記皇帝言行、內閣票擬、章奏批答與朝政實錄，為萬曆一朝政治運作之逐日檔案，對研究萬曆怠政、礦稅之爭與黨爭極具價值","萬曆起居注;起居注;內閣;票擬;萬曆皇帝","明","全中國","–","明實錄;萬曆會計錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","萬曆一朝之逐日政務檔案","明")
"鄭和下西洋官方史料與《鄭和航海圖》","明朝官方／茅元儀（輯）","明永樂三年至宣德八年（1405–1433）","官方檔案文書","中央研究院","CN-ST-MING-ZHENGHE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字;地圖","鄭和七下西洋（1405–1433），率船隊遠航東南亞、印度洋直抵非洲東岸，《武備志》所收〈鄭和航海圖〉繪四十餘國航路，《瀛涯勝覽》《星槎勝覽》《西洋番國志》為隨行記録，為明代最大規模官方海外交通之第一手史料","鄭和;下西洋;航海圖;海上絲路;永樂","明","東南亞;印度洋;非洲東岸","–","武備志;瀛涯勝覽;星槎勝覽","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","十五世紀全球最大遠洋航行實錄","明")
"明末農民戰爭史料（李自成、張獻忠）","中央研究院（輯）","明（1627–1644）","官方檔案文書","中央研究院","CN-ST-MING-FARMSWAR-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明末陝北饑荒引發農民起事，李自成陷北京、張獻忠據蜀，《明季北略》《綏寇紀略》《懷陵流寇始終錄》等記載起事始末與明廷剿撫之策，為明亡社會經濟史之關鍵史料","明末農民戰爭;李自成;張獻忠;明季北略;流寇","明","陝西;河南;湖北;四川;北京","–","明史;南明史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明亡之直接社會動因","明")
"嘉靖大倭寇與海禁政策史料","中央研究院（輯）","明（1523–1567）","官方檔案文書","中央研究院","CN-ST-MING-WOKOU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","嘉靖年間倭患熾烈，浙閩沿海遭襲，《籌海圖編》《明史紀事本末》《日本一鑑》及《世宗實錄》載倭亂與王直等海商集團，海禁政策與隆慶開關之爭亦見其中，為明代海防與海洋政策之核心文獻","倭寇;海禁;嘉靖;王直;海防","明","浙江;福建;廣東沿海","–","籌海圖編;明實錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代海防與海洋政策之關鍵","明")
"南明與明清易代史料","中央研究院（輯）","明末清初（1644–1662）","官方檔案文書","中央研究院","CN-ST-MING-NANMING-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","順治元年北京陷落後，南明弘光、隆武、永曆諸朝相繼於江南、閩廣抗清，延平王鄭氏據臺灣延明祚至1683，《南明史》《小腆紀年》《爝火錄》等記易代之際忠烈與政局，為明清之際東亞政權更迭之要籍","南明;弘光;永曆;鄭成功;明清易代","明","江南;福建;廣東;雲南;臺灣","–","明史;明末農民戰爭史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明祚延續至臺灣之見證","明")
"《籌海圖編》","胡宗憲（編）／鄭若曾（纂）","明嘉靖四十一年（1562）","方志與輿圖","中央研究院","CN-ST-MING-CHOUHAI-01","https://hanchi.ihp.sinica.edu.tw/","zh","地圖;文字","嘉靖間胡宗憲督師東南、鄭若曾纂《籌海圖編》十三卷，繪沿海州縣圖、日本圖與倭寇來蹤，詳述海防、水軍與禦倭之策，為明代海防地理與軍事制度最重要之輿圖文獻","籌海圖編;海防;沿海輿圖;胡宗憲;倭寇","明","東南沿海;日本","–","嘉靖大倭寇史料;九邊圖","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代海防輿圖之集大成","明")
"《廣輿圖》","羅洪先（增繪）","明嘉靖（1561）","方志與輿圖","中央研究院","CN-ST-MING-GUANGYUTU-01","https://hanchi.ihp.sinica.edu.tw/","zh","地圖","羅洪先據元代朱思本〈輿地圖〉增補成《廣輿圖》二卷，創分幅地圖與計里畫方之制，收兩京十三布政使司圖、九邊圖、漕運圖、河圖等，為明代最重要之全國總圖，影響晚明至清代製圖","廣輿圖;羅洪先;計里畫方;兩京十三布政使司;製圖","明","全中國","–","九邊圖;籌海圖編","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代全國輿圖之典範","明")
