"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"舊唐書（漢籍全文資料庫）","劉昫等","後晉（945）","考古與物質文化","中央研究院","CN-ST-JIUTANGSHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","後晉劉昫等奉敕撰《舊唐書》，記載唐高祖武德元年至哀帝天祐四年（618–907）唐朝290年歷史，含帝紀20卷、志30卷、列傳150卷，共200卷。保存唐代原始詔令奏議最多，為研究唐代歷史之最基本史料","舊唐書;劉昫;正史;唐;五代","唐","全中國","–","新唐書;資治通鑑;唐會要","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","唐代原始詔令奏議保存最多之正史","唐")
"新唐書（漢籍全文資料庫）","歐陽修；宋祁","北宋（1060）","考古與物質文化","中央研究院","CN-ST-XINTANGSHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋歐陽修、宋祁等奉敕撰《新唐書》，增補《舊唐書》之不足，含帝紀10卷、志50卷、表15卷、列傳150卷，共225卷。新增宰相表、方鎮表、宗室世系表與藩鎮傳等，歐陽修撰贊以春秋筆法褒貶人物，為唐宋史學轉型之代表作","新唐書;歐陽修;宋祁;正史;唐","唐","全中國","–","舊唐書;新五代史;資治通鑑","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","歐陽修春秋筆法重修唐史，新增表譜為特色","唐")
"唐六典（漢籍全文資料庫）","李林甫等","唐（738）","官方檔案文書","中央研究院","CN-ST-TANGLIUDIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《唐六典》為唐代官修行政法典，以三師、三公、三省、六部、九寺、五監、十二衛等中央至地方官制為綱，詳列官員職掌、品秩、員額、選任等制度。為中國現存最早之系統行政法典，研究唐代政治制度之最重要文獻","唐六典;唐代官制;三省六部;行政法典","唐","全中國","–","舊唐書;新唐書;唐律疏議","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國現存最早之系統行政法典","唐")
"唐律疏議（漢籍全文資料庫）","長孫無忌等","唐（653）","官方檔案文書","中央研究院","CN-ST-TANGLVSHUYI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《唐律疏議》為唐代永徽年間官修法典，含名例、衛禁、職制、戶婚、廄庫、擅興、賊盜、鬥訟、詐偽、雜律、捕亡、斷獄等12篇502條，每條附疏議解釋立法意旨。為東亞法系之典範，影響日本大寶律令、朝鮮高麗律、越南黎朝律至深","唐律疏議;唐代法律;永徽律;東亞法系","唐","全中國","–","唐六典;舊唐書;日本大寶律令","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","東亞法系之典範，世界法制史重要里程碑","唐")
"貞觀政要（漢籍全文資料庫）","吳兢","唐（720）","人物傳記與家族史料","中央研究院","CN-ST-ZHENGGUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐吳兢撰《貞觀政要》，分類記述唐太宗與魏徵、房玄齡、杜如晦等大臣之君臣問對、政治決策與治國方略，含君道、政體、任賢、納諫、君臣鑑戒等40篇。為中國古代帝王學之經典教材，歷代帝王必讀之治國方略","貞觀政要;唐太宗;吳兢;帝王學;貞觀之治","唐","全中國","–","舊唐書;資治通鑑;唐六典","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","唐代貞觀之治之第一手君臣問對記錄","唐")
"唐代長安城遺址考古（大明宮、含元殿等）","中國社會科學院考古研究所","1956","考古與物質文化","中國社會科學院考古研究所","CN-ST-CHANGAN-01","https://www.kaogu.cn/","zh","圖檔;文字;地圖","唐代長安城為隋大興城之延續，城周36.7公里，面積約84平方公里，為當時世界最大城市。1956年以來系統考古發掘，已確認外郭城、宮城、皇城、大明宮太液池與含元殿、麟德殿遺址及東西市、里坊格局，為唐代都城制度研究之基礎","唐代長安城;大明宮;隋大興城;都城;考古","隋唐","陝西西安","–","隋唐洛陽城;唐昭陵;法門寺","中國社會科學院考古研究所","–","2026-07-30","ARR","考古報告由科學出版社、文物出版社出版","已收錄 metadata","唐代長安城為當時世界最大城市，都城考古之核心","隋唐")
"隋唐洛陽城遺址考古","中國社會科學院考古研究所","1954","考古與物質文化","中國社會科學院考古研究所","CN-ST-LUOYANG-01","https://www.kaogu.cn/","zh","圖檔;文字;地圖","隋唐洛陽城始建於隋大業元年（605），唐代繼為東都，城周27.5公里，面積約47平方公里。1954年以來系統考古發掘含宮城應天門、天堂遺址、明堂遺址、含嘉倉、回洛倉及里坊、南市等，為隋唐東都制度與大運河相關研究之關鍵","隋唐洛陽城;隋;唐;東都;應天門;含嘉倉","隋唐","河南洛陽","–","唐代長安城;洛陽伽藍記;大運河","中國社會科學院考古研究所","–","2026-07-30","ARR","考古報告由文物出版社、科學出版社出版","已收錄 metadata","隋煬帝營建東都、武則天時期之洛陽城考古","隋唐")
"唐代帝陵考古（昭陵、乾陵等）","陝西省考古研究院","1960","考古與物質文化","陝西省考古研究院","CN-ST-DILING-01","https://www.shxkgy.com/","zh","圖檔;文字;地圖","唐代18座帝陵分布於陝西關中渭北高原，以昭陵（唐太宗）、乾陵（唐高宗與武則天）為代表。1960年代以來系統調查發掘含昭陵陪葬墓群、乾陵陪葬墓（章懷太子墓、懿德太子墓、永泰公主墓）等，出土大量壁畫、唐三彩與墓誌","唐代帝陵;昭陵;乾陵;關中;唐代墓葬;壁畫","唐","陝西","–","唐代長安城;法門寺;何家村窖藏","陝西省考古研究院","–","2026-07-30","ARR","考古報告由文物出版社、科學出版社出版","已收錄 metadata","唐代關中十八陵之考古研究成果","唐")
"法門寺地宮考古與唐代佛教珍寶","法門寺博物館","1987","考古與物質文化","法門寺博物館","CN-ST-FAMENSI-01","https://www.fmsbwg.com/","zh","圖檔;文物;文字","法門寺位於陝西扶風，1987年發現唐代地宮，出土佛指舍利4枚及唐代金銀器、琉璃器、秘色瓷器、絲織品等珍寶2,499件，為唐代皇室供養佛教之最高等級實物。地宮內《大唐迎送佛骨》碑刻記錄唐代八帝六迎佛骨之史實","法門寺;地宮;佛教;舍利;唐代;秘色瓷","唐","陝西扶風","–","唐代帝陵;敦煌莫高窟;龍門石窟","法門寺博物館","–","2026-07-30","UNCLEAR","法門寺博物館對外開放展示","已收錄 metadata","唐代最高等級佛教珍寶出土，秘色瓷之首次實物確認","唐")
"何家村唐代金銀器窖藏","陝西歷史博物館","1970","考古與物質文化","陝西歷史博物館","CN-ST-HEJIACUN-01","https://www.sxhm.com/","zh","圖檔;文物","1970年西安南郊何家村發現唐代金銀器窖藏，出土金銀器270件、錢幣39種（含東羅馬金幣、薩珊銀幣、日本和同開珎等）、寶石藥材等1,000餘件。金銀器含舞馬銜杯銀壺、鸚鵡紋提梁銀罐等，為唐代金銀工藝之最高成就","何家村;唐代金銀器;窖藏;西安;絲綢之路","唐","陝西西安","–","法門寺地宮;唐代長安城;唐三彩","陝西歷史博物館","–","2026-07-30","UNCLEAR","陝西歷史博物館公開展示","已收錄 metadata","唐代金銀工藝之最高成就，絲路貿易之實物證據","唐")
"唐代壁畫墓總合（章懷太子墓、懿德太子墓、永泰公主墓）","陝西歷史博物館","1971","考古與物質文化","陝西歷史博物館","CN-ST-TANGMURALS-01","https://www.sxhm.com/","zh","圖檔;文物","1971–1972年發掘乾陵陪葬之章懷太子李賢墓（壁畫50組）、懿德太子李重潤墓（壁畫40組）、永泰公主李仙蕙墓（壁畫30組），出土唐代墓室壁畫共約120組，內容涵蓋宮廷儀仗、狩獵、打馬球、宮女侍從等，為唐代宮廷生活與繪畫藝術之第一手資料","唐代壁畫墓;章懷太子;懿德太子;永泰公主;乾陵;壁畫","唐","陝西","–","唐代帝陵;唐代長安城;絲綢之路","陝西歷史博物館","–","2026-07-30","ARR","壁畫已遷移至陝西歷史博物館保存","已收錄 metadata","唐代宮廷壁畫之巔峰，打馬球圖為中國最早之馬球圖像","唐")
"唐三彩考古遺址（鞏義黃冶窯、耀州窯等）","河南省文物考古研究院","1950","考古與物質文化","河南省文物考古研究院","CN-ST-TANGSANCAI-01","https://www.hnswwkgyjy.cn/","zh","圖檔;文物","鞏義黃冶窯為唐代三彩釉陶器主要產地，1976年以來系統發掘出窯爐、作坊及大量三彩器皿、俑像，含駱駝、胡人、馬球、天王俑等絲路題材。唐三彩為唐代厚葬風俗與絲路文化交流之代表性物質文化遺存","唐三彩;黃冶窯;唐代瓷器;鞏義;絲綢之路","唐","河南鞏義","–","唐代長安城;唐代帝陵;何家村窖藏","河南省文物考古研究院","–","2026-07-30","ARR","考古報告由文物出版社出版","已收錄 metadata","唐三彩為唐代厚葬風俗與絲路文化交流之代表性物質遺存","唐")
